,Company Name,Symbol,Stock Exchange,Price 3/6/2020,Price 1/6/2020,Price Change,P/E,Cash Flow,Book Value per Share,Debt Ratio,Percent Price Change,Projected Cash Flow,Investability Rating
51,Baxter International Inc.,BAX,NYSE,85.09,85.3,-0.21,21.52,"1,944",22.91,50.03,-0.25%,"2,139",4.58
52,"Becton, Dickinson & Co. (BD)",BDX,NYSE,236.5,268.96,-32.46,19.07,"3,203",80.64,59.28,-12.07%,"3,581",4.26
53,Best Buy Co. Inc.,BBY,NYSE,75.35,86.47,-11.12,11.57,"1,965",12.94,77.69,-12.86%,"1,628",4.76
54,Biogen Inc,BIIB,NAS,308.27,290.24,18.03,9.05,"4,691",106.29,51.02,6.21%,"5,221",4.5
55,BlackRock Inc.,BLK,NYSE,451.96,500.17,-48.21,14.42,"4,629",220.08,79.29,-9.64%,"4,836",3.2
56,Boeing Co.,BA,NYSE,253.33,329.06,-75.73,10.8,"15,240",0.26,106.21,-23.01%,"16,791",6.12
57,BorgWarner Inc.,BWA,NYSE,29,42,-13.0,10.03,638,26.08,50.07,-30.95%,735,7.21
58,Boston Scientific Corp.,BSX,NYSE,36.14,44.85,-8.71,18.85,"2,240",7.29,54.6,-19.42%,"2,547",6.65
59,Bristol-Myers Squibb Co.,BMY,NYSE,58.88,62.9,-4.02,8.92,"15,719",27.08,60.22,-6.39%,"16,559",5.16
60,Broadcom,AVGO,NAS,266.98,310.78,-43.8,10.79,"10,329",55.59,63.0,-14.09%,"11,539",5.22
61,C.H. Robinson Worldwide Inc.,CHRW,NAS,64.61,77.07,-12.46,20.07,636,13.37,64.0,-16.17%,575,4.74
62,Cabot Oil & Gas Corp,COG,NYSE,14.55,17.44,-2.89,14.23,315,6.31,52.75,-16.57%,359,7.0
63,Cadence Design Systems Inc.,CDNS,NAS,64.7,69.98,-5.28,28.98,655,7.49,37.36,-7.55%,694,5.32
64,Campbell Soup Co.,CPB,NYSE,51.83,48.46,3.37,19.68,583,6.51,91.54,6.95%,836,4.65
65,Capri Holdings (ex Michael Kors),CPRI,NYSE,22.07,36.71,-14.64,5.15,585,19.91,63.37,-39.88%,774,7.66
66,Cardinal Health Inc.,CAH,NYSE,50.86,49.26,1.6,9.44,"1,905",12.82,84.55,3.25%,"1,720",3.99
67,CarMax Inc.,KMX,NYSE,83.98,86.49,-2.51,16.7,614,21.36,82.16,-2.9%,713,4.42
68,Carnival Corp & plc paired,CCL,NYSE,26.91,49.35,-22.44,4.79,-202,39.02,43.71,-45.47%,689,6.12
